event_id,hvdc_code,event_type,location,location_code,location_match_method,location_match_score,event_date,source,raw
sev_HVDCADOPTHE0013_DAS_2025-05-31,HVDC-ADOPT-HE-0013,SITE,DAS,,NONE,0.0000,2025-05-31,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-05-31"", ""count"": 1, ""field"": ""DAS""}"
sev_HVDCADOPTHE0014_MIR_2024-01-26,HVDC-ADOPT-HE-0014,SITE,MIR,,NONE,0.0000,2024-01-26,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-01-26"", ""count"": 4, ""field"": ""MIR""}"
sev_HVDCADOPTHE0015_MIR_2024-01-26,HVDC-ADOPT-HE-0015,SITE,MIR,,NONE,0.0000,2024-01-26,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-01-26"", ""count"": 1, ""field"": ""MIR""}"
sev_HVDCADOPTHE0016_SHU_2024-01-24,HVDC-ADOPT-HE-0016,SITE,SHU,,NONE,0.0000,2024-01-24,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-01-24"", ""count"": 2, ""field"": ""SHU""}"
sev_HVDCADOPTHE0017_SHU_2024-01-24,HVDC-ADOPT-HE-0017,SITE,SHU,,NONE,0.0000,2024-01-24,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-01-24"", ""count"": 1, ""field"": ""SHU""}"
sev_HVDCADOPTHE0018_DSVOutdoor_2024-01-24,HVDC-ADOPT-HE-0018,WH,DSV Outdoor,,NONE,0.0000,2024-01-24,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-01-24"", ""count"": 4, ""field"": ""DSV Outdoor""}"
sev_HVDCADOPTHE0019_DSVOutdoor_2024-01-24,HVDC-ADOPT-HE-0019,WH,DSV Outdoor,,NONE,0.0000,2024-01-24,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-01-24"", ""count"": 1, ""field"": ""DSV Outdoor""}"
sev_HVDCADOPTHE0020_DSVIndoor_2024-01-27,HVDC-ADOPT-HE-0020,WH,DSV Indoor,,NONE,0.0000,2024-01-27,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-11-26"", ""count"": 24, ""field"": ""DSV Indoor""}"
sev_HVDCADOPTHE0020_DAS_2025-06-30,HVDC-ADOPT-HE-0020,SITE,DAS,,NONE,0.0000,2025-06-30,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-07-08"", ""count"": 24, ""field"": ""DAS""}"
sev_HVDCADOPTHE0021_SHU_2024-01-26,HVDC-ADOPT-HE-0021,SITE,SHU,,NONE,0.0000,2024-01-26,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-01-26"", ""count"": 4, ""field"": ""SHU""}"
sev_HVDCADOPTHE0022_DSVOutdoor_2024-01-26,HVDC-ADOPT-HE-0022,WH,DSV Outdoor,,NONE,0.0000,2024-01-26,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-01-26"", ""count"": 2, ""field"": ""DSV Outdoor""}"
sev_HVDCADOPTHE0022_DAS_2025-05-28,HVDC-ADOPT-HE-0022,SITE,DAS,,NONE,0.0000,2025-05-28,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-05-28"", ""count"": 2, ""field"": ""DAS""}"
sev_HVDCADOPTHE0023_MOSB_2024-02-24,HVDC-ADOPT-HE-0023,PORT,MOSB,,NONE,0.0000,2024-02-24,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-02-24"", ""count"": 2, ""field"": ""MOSB""}"
sev_HVDCADOPTHE0023_DAS_2024-09-03,HVDC-ADOPT-HE-0023,SITE,DAS,,NONE,0.0000,2024-09-03,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-09-03"", ""count"": 2, ""field"": ""DAS""}"
sev_HVDCADOPTHE0024_SHU_2024-02-27,HVDC-ADOPT-HE-0024,SITE,SHU,,NONE,0.0000,2024-02-27,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-02-27"", ""count"": 2, ""field"": ""SHU""}"
sev_HVDCADOPTHE0025_MIR_2024-02-25,HVDC-ADOPT-HE-0025,SITE,MIR,,NONE,0.0000,2024-02-25,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-02-25"", ""count"": 2, ""field"": ""MIR""}"
sev_HVDCADOPTHE0026_MOSB_2024-02-24,HVDC-ADOPT-HE-0026,PORT,MOSB,,NONE,0.0000,2024-02-24,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-02-24"", ""count"": 3, ""field"": ""MOSB""}"
sev_HVDCADOPTHE0026_DAS_2024-09-03,HVDC-ADOPT-HE-0026,SITE,DAS,,NONE,0.0000,2024-09-03,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-09-03"", ""count"": 3, ""field"": ""DAS""}"
sev_HVDCADOPTHE0027_DSVOutdoor_2024-03-06,HVDC-ADOPT-HE-0027,WH,DSV Outdoor,,NONE,0.0000,2024-03-06,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-03-08"", ""count"": 40, ""field"": ""DSV Outdoor""}"
sev_HVDCADOPTHE0027_DSVIndoor_2024-03-08,HVDC-ADOPT-HE-0027,WH,DSV Indoor,,NONE,0.0000,2024-03-08,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-03-08"", ""count"": 14, ""field"": ""DSV Indoor""}"
