hvdc_code,shipment_invoice_no,vendor,coe,pol,pod,vessel,hs_code,currency,price
HVDC-ADOPT-HE-0179-1,PRL-ZAK-002-O Lot 11-1,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Houston,85044083,SEK,320200.0
HVDC-ADOPT-HE-0179-2,PRL-ZAK-002-O Lot 11-2,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Houston,85044083,SEK,320200.0
HVDC-ADOPT-HE-0180,PRL-CS-016-O2,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Herrera,85446010,SEK,475538.0
HVDC-ADOPT-HE-0181,PRL-CS-016-O3,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Herrera,85446010,SEK,475538.0
HVDC-ADOPT-HE-0182,PRL-ZAK-009-O1,HITACHI,Brazil,Itaguai,Mina Zayed,BBC Switzerland,85042300,SEK,36209511.0
HVDC-ADOPT-HE-0183,PRL-CS-017-O2,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Herrera,76061200,SEK,164750.5
HVDC-ADOPT-HE-0184,PRL-CS-017-O1,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Herrera,76061230,SEK,163687.6
HVDC-ADOPT-HE-0185,PRL-SHU-008-O1,HITACHI,Italy,Bremerhaven,Khalifa port,Morning Peace,84198910,EUR,298956.7
HVDC-ADOPT-HE-0186,PRL-SHU-008-O2,HITACHI,Sweden,Gothenburg,Khalifa port,Nabucco,84198910,SEK,1075161.0
HVDC-ADOPT-HE-0187,PRL-DAS-013-O1,HITACHI,Italy,Bremerhaven,Khalifa port,Morning Peace,84198910,EUR,212566.9
HVDC-ADOPT-HE-0188,PRL-MIR-014-O1,HITACHI,Italy,Venezia,Khalifa port,MSC Ravena,85353090,EUR,15571.66
HVDC-ADOPT-HE-0189,PRL-MIR-014-O2,HITACHI,Italy,Venezia,Khalifa port,MSC Ravena,85353090,EUR,15571.66
HVDC-ADOPT-HE-0190,PRL-MIR-014-O3,HITACHI,Italy,Venezia,Khalifa port,MSC Ravena,85353090,EUR,15571.66
HVDC-ADOPT-HE-0191,PRL-MIR-014-O4,HITACHI,Italy,Venezia,Khalifa port,MSC Ravena,85353090,EUR,15571.66
HVDC-ADOPT-HE-0192,PRL-CS-018-O1,HITACHI,Italy,Venezia,Khalifa port,MSC Ravena,85353090,EUR,10018.83
HVDC-ADOPT-HE-0193,PRL-CS-018-O2,HITACHI,Italy,Venezia,Khalifa port,MSC Ravena,85353090,EUR,10018.83
HVDC-ADOPT-HE-0194,PRL-SHU-022-O1,HITACHI,Italy,Venezia,Khalifa port,MSC Ravena,85353090,EUR,12339.17
HVDC-ADOPT-HE-0195,PRL-SHU-22-O2,HITACHI,Italy,Venezia,Khalifa port,MSC Ravena,85353090,EUR,12339.17
HVDC-ADOPT-HE-0196,PRL-SHU-022-O3,HITACHI,Italy,Venezia,Khalifa port,MSC Ravena,85353090,EUR,12339.17
HVDC-ADOPT-HE-0197,PRL-SHU-022-O3,HITACHI,Italy,Venezia,Khalifa port,MSC Ravena,85353090,EUR,12339.17
HVDC-ADOPT-HE-0198,PRL-SHU-023-O1,HITACHI,Germany,Antwerpen,Khalifa port,EDITH Maersk,85043129,EUR,105549.1
HVDC-ADOPT-HE-0199,PRL-SHU-023-O2 Spare,HITACHI,Germany,Antwerpen,Khalifa port,EDITH Maersk,85043129,EUR,105549.1
HVDC-ADOPT-HE-0200,PRL-DAS-017-O1,HITACHI,Germany,Antwerpen,Khalifa port,EDITH Maersk,85043129,EUR,124721.8
HVDC-ADOPT-HE-0201,PRL-DAS-017-O2 Spare,HITACHI,Germany,Antwerpen,Khalifa port,EDITH Maersk,85043129,EUR,124721.8
HVDC-ADOPT-HE-0202,PRL-DAS-013-O2,HITACHI,Sweden,Gothenburg,Khalifa port,Nabucco,84198910,SEK,1075161.0
HVDC-ADOPT-HE-0203,PRL-MIR-010-O1,HITACHI,Deutschland,Bremerhaven,Khalifa port,Nabucco,84198910,EUR,242984.9
HVDC-ADOPT-HE-0204,PRL-ZAK-010-O1,HITACHI,Deutschland,Bremerhaven,Khalifa port,Nabucco,84198910,EUR,217129.4
HVDC-ADOPT-HE-0205,PRL-ZAK-009-O3,HITACHI,Brazil,Itaguai,Mina Zayed,BBC FUJI,85042300,SEK,548629.0
HVDC-ADOPT-HE-0206,PRL-CS-019-O,HITACHI,SWEDEN,Gothenburg,Khalifa port,ESTELLE Maersk/Eugene,85446010,SEK,403459.4
HVDC-ADOPT-HE-0207,PRL-MIR-011-O,HITACHI,SWEDEN,Gothenburg,Khalifa port,ESTELLE Maersk/Eugene,85044083,SEK,338239.8
HVDC-ADOPT-HE-0208,PRL-SHU-024-A,HITACHI,Estonia,Talinn,Abu Dhabi Airport,QR9705,85447700,SEK,244798.2
HVDC-ADOPT-HE-0209,PRL-DAS-018-O,HITACHI,SWEDEN,Gothenburg,Khalifa port,ESTELLE Maersk/Eugene,90261089,SEK,5902.0
HVDC-ADOPT-HE-0210,PRL-ZAK-012-O,HITACHI,SWEDEN,Gothenburg,Khalifa port,ESTELLE Maersk/Eugene,85044083,SEK,320200.0
HVDC-ADOPT-HE-0211,PRL-MIR-015-O,HITACHI,SWEDEN,Gothenburg,Khalifa port,ESTELLE Maersk/Eugene,85044083,SEK,327582.0
HVDC-ADOPT-HE-0212,PRL-ZAK-011-O,HITACHI,SWEDEN,Gothenburg,Khalifa port,ESTELLE Maersk/Eugene,85446010,SEK,445170.6
HVDC-ADOPT-HE-0213,PRL-MIR-016-O,HITACHI,Brazil,Itaguai,Mina Zayed,BBC FUJI,85042300,SEK,607497.7
HVDC-ADOPT-HE-0214,PRL-SHU-025-O,HITACHI,SWEDEN,Gothenburg,Khalifa port,MSC GIUSY,85322900,SEK,22270.0
HVDC-ADOPT-HE-0215,PRL-ZAK-009-O4,HITACHI,BRAZIL,Itagui,Mina Zayed,BBC MONT BLANC,85042300,SEK,39062382.0
HVDC-ADOPT-HE-0216,PRL-SHU-008-O3,HITACHI,FRANCE,Gothenburg,Khalifa port,ALEXANDRA MAERSK,85072080,SEK,2115914.0
HVDC-ADOPT-HE-0217,PRL-MIR-010-O3,HITACHI,FRANCE,Gothenburg,Khalifa port,ALEXANDRA MAERSK,85072080,SEK,2169215.0
HVDC-ADOPT-HE-0218,PRL-DAS-013-O3,HITACHI,FRANCE,Gothenburg,Khalifa port,ALEXANDRA MAERSK,85072080,SEK,2233279.0
